4696649,lstangy,,549,5354,1
4712750,ggaaeettaann,,542,5369,1
1986489,foukette59,,576,5260,1
2300548,Dartax57,,0,6671,0
4711056,LePetiKevin,,0,6823,0
4611975,pouglof,,0,6929,0
1108889,lolo622,,472,5589,1
4712358,maelle10,1334,587,5232,1
2469912,Aurel-Oo,,441,5653,1
4712719,kenjicrac,,569,5287,1
4716788,Pr%C3%A9-sident,,463,5609,1
800830,epolo,,823,4934,1
2379924,kalido,,1280,4103,1
802602,patrick1231,1894,914,4774,1
4713681,Moscaa,,0,6884,0
3782093,ugbvygt,,197,6200,1
4710990,De.Sand,,0,6679,0
4265536,J%C3%A9r%C3%B4melatouche92,,0,6771,0
60909,eristoff,,0,6707,0
4332986,ABDERRAHIM.F,,1143,4335,1
4226083,%C3%A9cureuil13,,733,5081,1
4711235,Hyunvell,,610,5190,1
4696465,BEMG,,0,6628,0
4713366,i+am+groot,,524,5424,1
4708644,Patate+Sama,,0,6912,0
2747830,xtuho,,243,5711,1
105982,Gaby86,,575,5265,1
212849,sgasyl,,0,6963,0
3816077,MBalez,,643,5145,1
4718579,Aetius.44,,175,6217,1
4711693,goofy4,1650,1173,4277,1
2367493,POPI+30,,0,6927,0
4718440,El-Pilote,,221,5894,1
2405479,BISOUNOURS69008,,497,5534,1
3240987,jowel+51,,197,6167,1
1695998,wittmann,,219,6086,1
4712905,yoanndelord,,197,6205,1
4702588,TiyunaLeone,,175,6530,1
4710938,Yann+Hidalf,,1200,4235,1
4713138,MeLiNa60590,,461,5615,1
4718713,lutinople,,221,5980,1
3866273,LordLazy,,175,6405,1
4718028,Achang,,0,6574,0
2408989,chronos24,,175,6257,1
3558646,tomi+88,,175,6532,1
3949479,noa20122012,,175,6448,1
1833819,jerewill,,1497,3815,1
3334536,Shainy74,,0,6967,0
4718306,TestUser13363473573,,175,6516,1
2186947,ent999,,175,6275,1
4714349,bloblocorte,1650,4372,2350,2
3291493,sisquette,1056,5550,2115,2
4711560,Ocaedaltar,,1020,4576,1
4612805,Saveen+Eternity,,175,6485,1
1959669,Pedro1307,,536,5380,1
4709155,geutu227,,942,4731,1
4710904,noxbg,,175,6456,1
4711494,Chokapike,,806,4972,1
2572068,petiteboule50,,0,6918,0
4718331,BluntBunny,,552,5348,1
4305426,Heevlayn,,175,6344,1
1784424,kimykow,,0,6799,0
4635526,borugaadi,,175,6251,1
4716357,Willibere,2532,1268,4131,1
48681,florus,,175,6289,1
2689720,TYMEO62760,,1009,4600,1
999602,jc54,,175,6361,1
2919214,sw1ff,,509,5518,1
4699921,guest5403d30f5f94d8e3fd8,,221,5917,1
4716797,Laguigz,2511,1724,3549,1
951621,climi3,,197,6115,1
4598431,iR3alFuzEv27,,186,6208,1
4311118,pitou83210,,590,5222,1
2369837,zut+pilote,,511,5484,1
4713229,esteban-28,,197,6124,1
3791522,Ripcurl62,,989,4649,1
4699688,livesurfer,,458,5628,1
1017689,bdr62,,243,5709,1
4713376,enirbam,,234,5722,1
567348,sac6s,,175,6481,1
4718219,AurelieCorentin25,,221,5884,1
4715596,vikarbzh,,241,5715,1
1309990,pierre+julia,,219,6073,1
4307989,CordonBleu,,197,6117,1
4718313,lina+3,,558,5334,1
4187758,XuneIsina,,612,5187,1
3046394,geronimoxv,,562,5324,1
3233983,Gouv60,,563,5316,1
4718550,TestUser13363753013,,175,6523,1
4709486,%2ASanguinaire%2A,,233,5725,1
1686518,undermat,,177,6213,1
4717059,Zerkrox,,175,6564,1
4703640,Grand+p%C3%A9lican,,197,6128,1
4710832,Sahma3l,,0,6954,0
539153,kranidosu,2882,803,4984,1
4714021,Leonidas25000,1805,1347,4004,1
4090913,TheDarkKing83,,221,6014,1
4139001,gerico76,,175,6299,1
2969959,NOYES,,457,5631,1
655088,tony-psy,,175,6534,1
4718385,cojybvgb,1323,509,5492,1
2317270,jeusset350000,,845,4883,1
1648280,sholo1,,0,6973,0
2384262,melba31,,175,6425,1
4513397,nacrima,,175,6436,1
290051,tourigou,,2636,2920,1
4701341,azeryce,,175,6240,1
4713051,asberth,,473,5585,1
2582239,Darkraft99,,0,6670,0
4696355,%C3%A9clairage,,498,5532,1
1558490,baptisteg56420,,560,5326,1
4712897,yayavodkza,,781,5014,1
4718307,Artemisia+II,,175,6233,1
4584420,Emily97432,1334,223,5797,1
4714587,alexandredupuis,,0,6584,0
1160275,mathildette,,175,6421,1
3002271,peterdu56,1650,1071,4464,1
215053,tueurne1974,,197,6198,1
4715255,Dogitos,,197,6121,1
4718748,DEUSVULT,,175,6266,1
860146,remilebossdu93,,505,5527,1
4718290,Her+Spontz,,175,6346,1
3728832,quentindu373,,175,6470,1
4718228,thortan,,441,5672,1
4718551,Katarock,,223,5810,1
1978165,asvr%C3%A4n,,175,6236,1
4718581,pedrolegold,,221,6000,1
1500983,dagobai,,219,6031,1
4718750,Levinson15,,175,6393,1
3286039,Habens,,544,5367,1
19604,popop1,,646,5142,1
4714204,KINGWELE,,888,4805,1
